pixel_id,lat,lon,min_lat,max_lat,min_lon,max_lon,MgO,Al2O3,SiO2,CaO,TiO2,FeO,K,Th,U,terrane,source
0,-88.75,0.0,-90.0,-87.5,-180.0,180.0,7.621300000000001,28.67,44.507000000000005,15.633,0.16727,4.9428,433.89,0.79171,0.21514,highlands,LP-GRS (Prettyman et al. 2006)
1,-85.0,-157.5,-87.5,-82.5,-180.0,-135.0,8.711,25.362,46.091,14.741,0.17781,5.9621,482.4,0.95002,0.25836,highlands,LP-GRS (Prettyman et al. 2006)
2,-85.0,-112.5,-87.5,-82.5,-135.0,-90.0,6.930300000000001,26.251,44.618,16.314,0.20221,5.6288,550.72,0.97094,0.26407,highlands,LP-GRS (Prettyman et al. 2006)
3,-85.0,-67.5,-87.5,-82.5,-90.0,-45.0,7.4188,27.185,44.559,15.268,0.20416,5.1495,415.38,0.77853,0.21154,highlands,LP-GRS (Prettyman et al. 2006)
4,-85.0,-22.5,-87.5,-82.5,-45.0,0.0,7.234500000000001,27.037,44.527,17.081,0.0,4.895300000000001,450.18,0.76797,0.20865,highlands,LP-GRS (Prettyman et al. 2006)
5,-85.0,22.5,-87.5,-82.5,0.0,45.0,6.813,27.877999999999997,44.713,16.06,0.07735,4.843299999999999,391.73,0.69674,0.18921,highlands,LP-GRS (Prettyman et al. 2006)
6,-85.0,67.5,-87.5,-82.5,45.0,90.0,7.1236,27.822999999999997,45.05,15.689,0.20422,4.447,373.97,0.63842,0.17329,highlands,LP-GRS (Prettyman et al. 2006)
7,-85.0,112.5,-87.5,-82.5,90.0,135.0,7.3352,26.723999999999997,44.785,17.073,0.0553409999999999,5.1966,423.64,0.81958,0.22275,highlands,LP-GRS (Prettyman et al. 2006)
8,-85.0,157.5,-87.5,-82.5,135.0,180.0,8.83,27.912,44.468999999999994,15.42,0.19949,5.3349,404.72,0.84307,0.22916,highlands,LP-GRS (Prettyman et al. 2006)
9,-80.0,-168.0,-82.5,-77.5,-180.0,-156.0,7.2498,21.724,45.159,15.409,0.6158399999999999,8.15,588.28,1.2355,0.3363,mare,LP-GRS (Prettyman et al. 2006)
10,-80.0,-144.0,-82.5,-77.5,-156.0,-132.0,9.5264,23.394,44.041,16.682,0.0,7.3081,528.16,1.1916,0.3243,highlands,LP-GRS (Prettyman et al. 2006)
11,-80.0,-120.0,-82.5,-77.5,-132.0,-108.0,8.7905,25.855,44.26,15.093,0.0038089,5.832,480.9,0.99142,0.26966,highlands,LP-GRS (Prettyman et al. 2006)
12,-80.0,-96.0,-82.5,-77.5,-108.0,-84.0,6.9891,25.648,45.314,16.337,0.064063,5.150600000000001,403.74,0.75561,0.20528,highlands,LP-GRS (Prettyman et al. 2006)
13,-80.0,-72.0,-82.5,-77.5,-84.0,-60.0,6.1184,26.466,46.42,15.479,0.25379,4.7619,433.0,0.69923,0.18989,highlands,LP-GRS (Prettyman et al. 2006)
14,-80.0,-48.0,-82.5,-77.5,-60.0,-36.0,6.0065,27.264,45.052,15.644,0.19852,5.0699000000000005,433.65,0.81285,0.22091,highlands,LP-GRS (Prettyman et al. 2006)
15,-80.0,-24.0,-82.5,-77.5,-36.0,-12.0,6.4045000000000005,26.901000000000003,45.647,15.859000000000002,0.0,4.5575,396.57,0.80181,0.2179,highlands,LP-GRS (Prettyman et al. 2006)
16,-80.0,0.0,-82.5,-77.5,-12.0,12.0,7.2079,31.288,42.381,14.272000000000002,0.21151,4.1214,268.02,0.53378,0.14472,highlands,LP-GRS (Prettyman et al. 2006)
17,-80.0,24.0,-82.5,-77.5,12.0,36.0,6.521599999999999,27.43,44.779,15.296,0.1692,4.342,296.68,0.44307,0.11996,highlands,LP-GRS (Prettyman et al. 2006)
