lat,lon,terrane,FeO,TiO2,Al2O3,CaO,MgO,SiO2,K,Th,U,PC1,PC2,PC3,I_FeTi,I_AlCa,I_KREEP,alloy_family,process_route,blend_window,confidence
-89.5,0.0,highlands,4.924,0.1871,28.312,15.341,7.1598,44.524,455.07,0.79856,0.21701,-1.516435962782124,0.41309249828068534,-0.7792764712241862,0.08174454452996734,0.6507388477733853,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,-157.5,highlands,5.1886,0.29266,26.332,15.487,7.3212,45.18,398.63,0.79748,0.21671,-1.1804366353542952,0.485268783664926,-0.3797532563514479,0.09081285973944858,0.619202590225402,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,-112.5,highlands,5.008,0.011051,26.88,15.435,8.1304,44.775,500.06,0.85297,0.23186,-3.333722146525743,-0.01083377785145591,-3.769247850082389,0.07657937916898447,0.6294950655275329,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,-67.5,highlands,5.2526,0.20619,27.58,14.942,6.9084,44.66,454.8,0.74444,0.20223,-1.3858314421033098,0.3616283175776106,-0.7037532964909383,0.0884903823149431,0.6325962501845652,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,-22.5,highlands,5.3955,0.06051,27.247,16.8,6.7379,43.156,489.04,0.86207,0.23435,-2.1887353480067753,-0.011100545949446674,-2.0193220716040154,0.08532995538672157,0.6531608463502215,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,22.5,highlands,4.6623,0.0568249999999999,25.411,16.514,8.8376,45.108,393.88,0.9747,0.26509,-2.3318809218105714,0.4198980713504723,-2.108499463867432,0.07292268974108601,0.622985894352947,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,67.5,highlands,4.8005,0.26589,28.094,15.323999999999998,5.6455,45.686,486.49,0.66324,0.18007,-1.418779842502336,0.1302921391983506,-0.34354531960068235,0.08217993535814097,0.6381895436994806,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,112.5,highlands,5.3009,0.11953,27.029,15.762,7.344399999999999,45.296,498.89,0.80754,0.21946,-1.7312704275904451,0.26597624402106174,-1.3397966562808281,0.08564602714561931,0.6328580264011349,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-88.0,157.5,highlands,4.4859,0.44422,30.338,14.061000000000002,7.6155,44.268,369.9,0.78487,0.21327,-1.0148535589263359,0.8325755498771887,0.2322045185952671,0.08364832774789581,0.6614853867393882,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-168.0,highlands,5.8641,0.50139,25.157,13.699,7.7823,46.899,512.22,0.97618,0.2655,-0.5166279944560876,0.6250247046954521,0.012007945411130873,0.10776461293989091,0.5597756110004737,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-144.0,highlands,5.8487,0.39277,24.688,15.509,8.6859,44.603,556.41,0.87957,0.23912,-0.664772717529462,0.6703001746302786,-0.29313488234851404,0.10358776781854201,0.6002076106656926,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-120.0,highlands,5.9901,0.2389399999999999,24.326,15.999,6.8013,45.362,567.48,1.0761,0.29277,-1.0430559100654813,0.15229790215451744,-0.8006207257159208,0.10017648430295745,0.5969179437982751,0.0020817283247929613,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-96.0,highlands,5.9033,0.48833,23.821,16.554,6.6664,44.318000000000005,458.68,0.96767,0.26318,-0.6516410056266122,0.2955767272019304,-0.009469816184669074,0.10880181873407521,0.6067356169289851,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-72.0,highlands,4.7528,0.43038,30.341,13.76,5.4449,44.041,459.46,0.85296,0.23186,-1.0056878905095235,0.30258309137302264,0.2276825430328495,0.0865272166262398,0.6559107712409561,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-48.0,highlands,4.9887,0.22524,26.802,16.904,7.0256,42.743,481.52,0.71146,0.19323,-1.3879561762348023,0.3561324262477135,-0.6258748993443033,0.08411714901439568,0.6451415530437545,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,-24.0,highlands,5.2374,0.29791,24.987,16.205,5.1515,46.078,437.86,0.92077,0.25037,-1.2597277657793502,-0.10590595198054481,-0.3459329346459067,0.09090307800854419,0.604232362540162,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,0.0,highlands,4.7973,0.50139,27.205,17.519000000000002,6.1765,44.343,455.89,0.88925,0.24177,-0.9700310650583075,0.2953821510035385,0.21535238186132707,0.08962169731862955,0.6712723642771963,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,24.0,highlands,4.9763,0.25738,29.367,16.275000000000002,4.9469,44.294,541.75,0.65175,0.17693,-1.440108357000798,-0.10801596308336989,-0.3608184186704328,0.08434138033122422,0.6829528240197217,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,48.0,highlands,5.2368,0.50139,26.335,14.91,7.607600000000001,45.366,365.81,0.66407,0.18029,-0.8196602681427674,0.6849830558516861,0.1957641493417253,0.09955335101036722,0.6084654739671198,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,72.0,highlands,4.7715,0.49752,25.141,17.393,5.0248,45.683,425.3,0.67898,0.18436,-1.11191541753897,-0.02026815028387935,0.2645145367021168,0.09017172505338841,0.6287596911810382,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
-86.0,96.0,highlands,5.0902,0.16793,27.803,15.496,6.5591,44.302,486.6,0.7411,0.20132,-1.5751384427421742,0.23409439646613972,-0.8958385247321501,0.08386230974789594,0.6475919480496067,0.0,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
